Time Box IPL IDF PPS PPL PDF IZ ZM ZG BD IKR KR FM FT SF SK PNK PNF SB WHM WHO TP WHH PB BB IB DL DR DC
0.000000e+00 10 0.000000e+00 0.000000e+00 2.377090e+05 1.933090e+05 1.823147e+05 0.000000e+00 5.712140e+05 2.412221e+04 0.000000e+00 0.000000e+00 5.766243e+04 3.386411e+03 1.791604e+05 0.000000e+00 6.708457e+03 1.039205e+02 1.537471e+02 1.981455e+03 2.880783e+02 9.547939e+02 1.063751e+03 1.104452e+04 1.776014e+06 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0.000000e+00 11 0.000000e+00 0.000000e+00 4.968988e+05 4.025850e+05 3.792311e+05 0.000000e+00 1.179069e+06 4.979176e+04 0.000000e+00 0.000000e+00 8.293668e+04 4.870723e+03 2.576890e+05 0.000000e+00 9.648868e+03 1.494703e+02 2.211366e+02 2.849954e+03 4.143470e+02 1.373293e+03 1.530008e+03 1.588549e+04 2.413097e+06 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0.000000e+00 12 0.000000e+00 0.000000e+00 6.163096e+05 4.911404e+05 4.601461e+05 0.000000e+00 1.380715e+06 5.830723e+04 0.000000e+00 0.000000e+00 1.096759e+05 6.441072e+03 3.407694e+05 0.000000e+00 1.275972e+04 1.976604e+02 2.924323e+02 3.768796e+03 5.479349e+02 1.816051e+03 2.023292e+03 2.100706e+04 2.434947e+06 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0.000000e+00 13 0.000000e+00 0.000000e+00 3.096393e+05 2.583300e+05 2.456249e+05 0.000000e+00 8.091560e+05 3.417044e+04 0.000000e+00 0.000000e+00 3.944899e+04 8.175096e+03 0.000000e+00 4.425632e+04 0.000000e+00 0.000000e+00 0.000000e+00 4.783408e+03 6.954464e+02 2.304957e+03 2.567990e+03 2.666245e+04 6.183018e+06 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0.000000e+00 14 0.000000e+00 0.000000e+00 3.884267e+05 3.225491e+05 3.062366e+05 0.000000e+00 9.999563e+05 4.222788e+04 0.000000e+00 0.000000e+00 4.050985e+04 8.394941e+03 0.000000e+00 4.544646e+04 0.000000e+00 0.000000e+00 0.000000e+00 4.912043e+03 7.141484e+02 2.366942e+03 2.637048e+03 2.737946e+04 5.953178e+06 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0.000000e+00 15 0.000000e+00 0.000000e+00 8.281782e+05 6.832470e+05 6.473593e+05 0.000000e+00 2.087444e+06 8.815219e+04 0.000000e+00 0.000000e+00 6.840445e+04 1.417560e+04 0.000000e+00 7.674036e+04 0.000000e+00 0.000000e+00 0.000000e+00 8.294418e+03 1.205902e+03 3.996790e+03 4.452888e+03 4.623263e+04 9.174427e+06 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0.000000e+00 16 0.000000e+00 0.000000e+00 2.914042e+05 2.397412e+05 2.269484e+05 0.000000e+00 7.278355e+05 3.073630e+04 0.000000e+00 0.000000e+00 4.947079e+04 2.905331e+03 0.000000e+00 1.572816e+04 0.000000e+00 0.000000e+00 0.000000e+00 1.699965e+03 2.471533e+02 8.191539e+02 9.126326e+02 9.475514e+03 1.807307e+06 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0.000000e+00 17 0.000000e+00 0.000000e+00 5.071826e+05 4.170436e+05 3.947234e+05 0.000000e+00 1.264580e+06 5.340289e+04 0.000000e+00 0.000000e+00 8.898711e+04 5.226054e+03 0.000000e+00 2.829152e+04 0.000000e+00 0.000000e+00 0.000000e+00 3.057865e+03 4.445746e+02 1.473478e+03 1.641626e+03 1.704437e+04 3.226375e+06 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0.000000e+00 18 0.000000e+00 0.000000e+00 3.861916e+05 3.144850e+05 2.967290e+05 0.000000e+00 9.322794e+05 3.936991e+04 0.000000e+00 0.000000e+00 8.680098e+04 5.097666e+03 0.000000e+00 2.759649e+04 0.000000e+00 0.000000e+00 0.000000e+00 2.982743e+03 4.336528e+02 1.437280e+03 1.601297e+03 1.662565e+04 2.728868e+06 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0.000000e+00 19 0.000000e+00 0.000000e+00 3.462329e+05 2.911546e+05 2.775161e+05 0.000000e+00 9.276719e+05 3.917534e+04 0.000000e+00 0.000000e+00 3.707286e+04 7.682685e+03 0.000000e+00 4.159063e+04 0.000000e+00 0.000000e+00 0.000000e+00 4.495288e+03 6.535576e+02 2.166122e+03 2.413312e+03 2.505649e+04 6.468339e+06 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0.000000e+00 20 0.000000e+00 0.000000e+00 3.137638e+05 2.622225e+05 2.494599e+05 0.000000e+00 8.244371e+05 3.481575e+04 0.000000e+00 0.000000e+00 3.262917e+04 6.761810e+03 0.000000e+00 3.660542e+04 0.000000e+00 0.000000e+00 0.000000e+00 3.956467e+03 5.752198e+02 1.906483e+03 2.124043e+03 2.205313e+04 5.235818e+06 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0.000000e+00 21 0.000000e+00 0.000000e+00 3.211530e+06 2.594662e+06 2.441914e+06 0.000000e+00 7.547645e+06 3.187350e+05 0.000000e+00 0.000000e+00 1.987732e+05 4.119218e+04 2.179301e+06 2.229961e+05 0.000000e+00 0.000000e+00 0.000000e+00 2.410235e+04 3.504174e+03 1.161408e+04 1.293943e+04 1.343452e+05 1.953283e+07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0.000000e+00 22 0.000000e+00 0.000000e+00 1.149644e+05 9.480699e+04 8.981563e+04 0.000000e+00 2.893852e+05 1.222066e+04 0.000000e+00 0.000000e+00 1.889331e+04 1.109570e+03 0.000000e+00 6.006718e+03 0.000000e+00 0.000000e+00 0.000000e+00 6.492311e+02 9.438992e+01 3.128418e+02 3.485421e+02 3.618779e+03 7.139743e+05 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0.000000e+00 23 0.000000e+00 0.000000e+00 5.863603e+05 4.852056e+05 4.601578e+05 0.000000e+00 1.492481e+06 6.302708e+04 0.000000e+00 0.000000e+00 1.060974e+05 6.230910e+03 0.000000e+00 3.373136e+04 0.000000e+00 0.000000e+00 0.000000e+00 3.645826e+03 5.300566e+02 1.756796e+03 1.957275e+03 2.032163e+04 4.207422e+06 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
